epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.54458,1.43652,2.20481,1.464,0.44757,0.47565,0.46844,0.28718,1.38725,1.74233,1.2601,0.00013332,0.00013332,0.00013332
2,8.23913,1.3438,1.95166,1.38078,0.59025,0.37384,0.38845,0.23969,1.43648,2.03149,1.23892,0.000275,0.000275,0.000275
3,11.5372,1.39453,1.90017,1.40911,0.42036,0.39694,0.3724,0.1916,1.57916,2.39512,1.36899,0.000413821,0.000413821,0.000413821
4,15.2591,1.25038,1.70162,1.32976,0.60989,0.33233,0.34267,0.20286,1.60128,2.38764,1.35108,0.000549782,0.000549782,0.000549782
5,17.6185,1.2471,1.71438,1.32749,0.56835,0.542,0.5122,0.31767,1.48439,2.09677,1.29922,0.000682883,0.000682883,0.000682883
6,19.9189,1.27322,1.61723,1.32967,0.61983,0.59083,0.54944,0.33007,1.48609,1.77543,1.29178,0.000813124,0.000813124,0.000813124
7,22.1822,1.24543,1.60347,1.33184,0.5265,0.58184,0.56869,0.35142,1.49156,1.89204,1.30712,0.000940506,0.000940506,0.000940506
8,24.7094,1.18934,1.47026,1.25047,0.52699,0.56241,0.58055,0.37544,1.41046,1.82739,1.26234,0.00103401,0.00103401,0.00103401
9,28.4402,1.20723,1.50793,1.29776,0.64576,0.59239,0.62217,0.40709,1.38871,1.67205,1.26601,0.00102301,0.00102301,0.00102301
10,31.1069,1.23974,1.46497,1.28603,0.85117,0.5246,0.643,0.43051,1.35475,1.64467,1.23506,0.00101201,0.00101201,0.00101201
11,33.4783,1.15726,1.35433,1.24595,0.80496,0.63355,0.72728,0.49013,1.25274,1.44362,1.19052,0.00100101,0.00100101,0.00100101
12,36.0327,1.15561,1.33911,1.24565,0.72301,0.72041,0.75102,0.49299,1.27459,1.32518,1.19811,0.000990012,0.000990012,0.000990012
13,38.3197,1.16283,1.34264,1.25119,0.72383,0.70061,0.73945,0.49038,1.25277,1.40268,1.1627,0.000979013,0.000979013,0.000979013
14,41.3804,1.11059,1.28318,1.2137,0.73787,0.73301,0.75333,0.50176,1.25333,1.33218,1.16932,0.000968014,0.000968014,0.000968014
15,44.6156,1.15275,1.33277,1.19969,0.86067,0.68298,0.77758,0.53846,1.19284,1.21547,1.12982,0.000957015,0.000957015,0.000957015
16,47.2206,1.10283,1.19586,1.17052,0.84313,0.7227,0.78513,0.55862,1.14581,1.21801,1.12473,0.000946016,0.000946016,0.000946016
17,49.5364,1.07765,1.20545,1.20769,0.75459,0.69615,0.76327,0.53068,1.1792,1.2882,1.15437,0.000935018,0.000935018,0.000935018
18,52.0266,1.06473,1.17389,1.18738,0.74478,0.69125,0.77478,0.52837,1.18851,1.26196,1.1406,0.000924019,0.000924019,0.000924019
19,54.5306,1.04058,1.19435,1.17249,0.83528,0.69092,0.8048,0.55684,1.20076,1.15224,1.14812,0.00091302,0.00091302,0.00091302
20,58.5504,0.99777,1.08593,1.11196,0.89443,0.73675,0.81419,0.56248,1.18185,1.13975,1.13688,0.000902021,0.000902021,0.000902021
21,60.8137,0.97775,1.12997,1.14334,0.82442,0.74937,0.80273,0.57539,1.15425,1.09526,1.1207,0.000891022,0.000891022,0.000891022
22,63.1152,1.03093,1.08506,1.16303,0.93808,0.70584,0.82422,0.58747,1.10882,1.059,1.08922,0.000880023,0.000880023,0.000880023
23,65.3614,1.00184,1.05732,1.13887,0.84134,0.78375,0.83299,0.57244,1.12206,1.00499,1.07255,0.000869024,0.000869024,0.000869024
24,67.8382,0.95422,1.04044,1.1442,0.89634,0.75366,0.83251,0.57834,1.12374,0.96215,1.08759,0.000858025,0.000858025,0.000858025
25,70.8907,0.99413,1.04887,1.12864,0.90568,0.74311,0.82055,0.59426,1.09747,0.96798,1.08039,0.000847026,0.000847026,0.000847026
26,74.4427,0.96166,1.00129,1.09304,0.88363,0.74496,0.82164,0.59531,1.09756,0.96252,1.08542,0.000836027,0.000836027,0.000836027
27,76.7674,0.94559,1.00161,1.13258,0.81028,0.80096,0.83328,0.61005,1.08908,0.93848,1.08403,0.000825029,0.000825029,0.000825029
28,79.4363,0.94489,0.9625,1.09735,0.82208,0.78792,0.82813,0.61078,1.1033,0.90574,1.08341,0.00081403,0.00081403,0.00081403
29,81.7344,0.93391,0.99638,1.14247,0.84575,0.75195,0.83162,0.62219,1.06214,0.91079,1.06123,0.000803031,0.000803031,0.000803031
30,84.6673,0.91561,0.99392,1.11331,0.83676,0.75667,0.84936,0.63588,1.08709,0.90546,1.07466,0.000792032,0.000792032,0.000792032
31,88.0686,0.94389,0.98643,1.13364,0.76314,0.78775,0.85267,0.63286,1.02119,0.88088,1.04286,0.000781033,0.000781033,0.000781033
32,90.475,0.90064,0.93077,1.08649,0.82111,0.77129,0.85465,0.63312,1.00892,0.87901,1.03014,0.000770034,0.000770034,0.000770034
33,92.7402,0.91946,0.90703,1.08229,0.89728,0.78915,0.85842,0.62058,1.01994,0.89277,1.02907,0.000759035,0.000759035,0.000759035
34,94.9623,0.92094,0.94102,1.10855,0.89588,0.80825,0.86059,0.62491,0.99191,0.85079,1.01416,0.000748036,0.000748036,0.000748036
35,97.5159,0.92285,0.88957,1.0706,0.89497,0.78722,0.86667,0.64217,0.99358,0.80009,1.00274,0.000737037,0.000737037,0.000737037
36,101.542,0.88222,0.90097,1.07946,0.89671,0.80042,0.87294,0.65308,0.97028,0.79562,1.00068,0.000726038,0.000726038,0.000726038
37,103.986,0.87863,0.86168,1.0713,0.90081,0.83107,0.87869,0.65452,0.96093,0.79517,0.99849,0.00071504,0.00071504,0.00071504
38,106.332,0.86458,0.89497,1.08911,0.94137,0.81146,0.87862,0.63385,0.96083,0.78304,1.00183,0.000704041,0.000704041,0.000704041
39,108.537,0.88067,0.9223,1.09072,0.90588,0.82444,0.88314,0.65599,0.94811,0.75421,0.98975,0.000693042,0.000693042,0.000693042
40,111.249,0.87283,0.87806,1.08116,0.95836,0.80027,0.88123,0.65406,0.96026,0.74989,0.98685,0.000682043,0.000682043,0.000682043
41,114.624,0.85224,0.83592,1.05358,0.92882,0.80419,0.87455,0.64494,0.97598,0.76437,0.98476,0.000671044,0.000671044,0.000671044
42,117.985,0.86687,0.87056,1.05744,0.93543,0.79953,0.87464,0.64147,0.98907,0.76746,0.99227,0.000660045,0.000660045,0.000660045
43,120.229,0.84008,0.81177,1.05689,0.94854,0.80801,0.875,0.65681,0.92228,0.73933,0.9785,0.000649046,0.000649046,0.000649046
44,122.69,0.87037,0.82795,1.06506,0.95023,0.82328,0.8767,0.65634,0.92728,0.72985,0.97427,0.000638047,0.000638047,0.000638047
45,124.918,0.85966,0.79785,1.03143,0.9326,0.83513,0.87576,0.65016,0.91225,0.74495,0.96815,0.000627048,0.000627048,0.000627048
46,128.652,0.89571,0.83483,1.0611,0.91792,0.8326,0.8788,0.65267,0.95445,0.7757,0.97796,0.000616049,0.000616049,0.000616049
47,133.179,0.88711,0.83075,1.06476,0.92845,0.82313,0.87658,0.65699,0.94486,0.74468,0.98128,0.000605051,0.000605051,0.000605051
48,135.521,0.84274,0.78897,1.06017,0.92978,0.82304,0.87674,0.65158,0.92461,0.73262,0.97096,0.000594052,0.000594052,0.000594052
49,137.784,0.84211,0.78312,1.0788,0.93132,0.82637,0.88074,0.64805,0.92819,0.73301,0.96415,0.000583053,0.000583053,0.000583053
50,140.023,0.84508,0.81644,1.05463,0.96012,0.82462,0.88202,0.65941,0.91597,0.71524,0.9589,0.000572054,0.000572054,0.000572054
51,142.357,0.7915,0.77769,1.0305,0.9584,0.8181,0.8838,0.65596,0.94566,0.71471,0.97602,0.000561055,0.000561055,0.000561055
52,145.708,0.81163,0.76601,1.04532,0.95442,0.82504,0.88698,0.65972,0.92394,0.6962,0.96714,0.000550056,0.000550056,0.000550056
53,149.167,0.7681,0.71953,1.02592,0.94813,0.82333,0.88374,0.66991,0.90833,0.6899,0.95666,0.000539057,0.000539057,0.000539057
54,151.407,0.83134,0.76257,1.03768,0.91993,0.83979,0.88954,0.67271,0.89213,0.6664,0.93968,0.000528058,0.000528058,0.000528058
55,153.752,0.77551,0.73442,1.02602,0.92215,0.84156,0.89436,0.67906,0.86981,0.65445,0.92685,0.000517059,0.000517059,0.000517059
56,156.303,0.79041,0.75697,1.01383,0.94033,0.83982,0.89416,0.67195,0.85134,0.6519,0.92116,0.00050606,0.00050606,0.00050606
57,159.102,0.75181,0.71476,1.00918,0.92695,0.85409,0.88832,0.68183,0.8519,0.68113,0.92737,0.000495062,0.000495062,0.000495062
58,162.567,0.76656,0.73761,1.03144,0.92715,0.85743,0.8902,0.67784,0.86473,0.67484,0.93498,0.000484063,0.000484063,0.000484063
59,165.078,0.78655,0.7052,1.01822,0.91937,0.86015,0.89713,0.68532,0.87496,0.65756,0.93087,0.000473064,0.000473064,0.000473064
60,167.478,0.75449,0.71413,1.01957,0.95736,0.83159,0.90383,0.6884,0.84764,0.65413,0.92082,0.000462065,0.000462065,0.000462065
61,169.729,0.7789,0.73123,1.01412,0.92303,0.85666,0.90481,0.6966,0.84346,0.63789,0.92096,0.000451066,0.000451066,0.000451066
62,172.373,0.7432,0.71186,1.0222,0.94553,0.86245,0.89683,0.69202,0.85008,0.62182,0.92688,0.000440067,0.000440067,0.000440067
63,176.283,0.76753,0.67314,1.00069,0.9403,0.86475,0.89183,0.69566,0.83699,0.62071,0.92122,0.000429068,0.000429068,0.000429068
64,178.81,0.74848,0.67656,1.01109,0.92314,0.86911,0.89082,0.6941,0.83221,0.63111,0.91968,0.000418069,0.000418069,0.000418069
65,181.036,0.70484,0.66982,0.98901,0.928,0.84164,0.88209,0.69363,0.84379,0.62041,0.92451,0.00040707,0.00040707,0.00040707
66,183.661,0.69963,0.66583,0.97162,0.93366,0.83784,0.8807,0.69024,0.84527,0.63054,0.92628,0.000396071,0.000396071,0.000396071
67,186.312,0.69146,0.64941,0.97694,0.90246,0.8655,0.88579,0.69145,0.84009,0.62457,0.92818,0.000385073,0.000385073,0.000385073
68,189.749,0.69909,0.67186,0.99873,0.94092,0.86674,0.89737,0.69733,0.83351,0.61398,0.92801,0.000374074,0.000374074,0.000374074
69,192.481,0.72712,0.68715,1.00209,0.93461,0.87261,0.89304,0.70125,0.82758,0.60777,0.9244,0.000363075,0.000363075,0.000363075
70,194.731,0.69423,0.69221,1.00768,0.93661,0.86743,0.89038,0.70085,0.82961,0.60736,0.92431,0.000352076,0.000352076,0.000352076
71,197.102,0.69586,0.63614,0.97105,0.92564,0.88689,0.90611,0.695,0.83268,0.6106,0.92312,0.000341077,0.000341077,0.000341077
72,199.509,0.70088,0.64872,0.9899,0.92458,0.86936,0.89179,0.69443,0.83223,0.60646,0.9191,0.000330078,0.000330078,0.000330078
73,202.618,0.6998,0.6514,0.97587,0.92018,0.86602,0.88762,0.68941,0.81605,0.59923,0.9087,0.000319079,0.000319079,0.000319079
74,205.947,0.70944,0.64076,0.98742,0.95495,0.85678,0.89919,0.6869,0.81171,0.5918,0.90672,0.00030808,0.00030808,0.00030808
75,208.612,0.68432,0.65002,1.00038,0.94878,0.87077,0.90388,0.69679,0.8189,0.60035,0.90844,0.000297081,0.000297081,0.000297081
76,210.837,0.69437,0.64365,0.98691,0.95948,0.86917,0.90576,0.6855,0.81847,0.60493,0.9085,0.000286083,0.000286083,0.000286083
